date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:01	22853/22853	---M--	200	added ('OK')	image/png	etag:W/%225945-192e72f49e8%22	https://usetola.com/images/brands/stripe.png	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/brands/stripe.png	(from https://usetola.com/)
19:23:03	35391/35391	---M--	200	added ('OK')	image/png	etag:W/%228a3f-192e72f49e8%22	https://usetola.com/images/brands/cashapp.png	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/brands/cashapp.png	(from https://usetola.com/)
19:23:03	7841/7841	---M--	200	added ('OK')	image/png	etag:W/%221ea1-192e72f49e8%22	https://usetola.com/images/brands/robinhood.png	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/brands/robinhood.png	(from https://usetola.com/)
19:23:04	9215/9215	---M--	200	added ('OK')	image/png	etag:W/%2223ff-192e72f49e8%22	https://usetola.com/images/brands/checkout.png	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/brands/checkout.png	(from https://usetola.com/)
19:23:06	11554/11554	---M--	200	added ('OK')	image/png	etag:W/%222d22-192e72f49e8%22	https://usetola.com/images/brands/paypal.png	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/brands/paypal.png	(from https://usetola.com/)
19:23:06	11813/11813	---M--	200	added ('OK')	image/png	etag:W/%222e25-192e72f49e8%22	https://usetola.com/images/brands/klarna.png	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/brands/klarna.png	(from https://usetola.com/)
19:23:08	36379/36379	---MCZ	200	added ('OK')	text/css	etag:W/%228e1b-192e7305f40%22	https://usetola.com/_next/static/css/f15e48a8e3e53e49.css	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/css/f15e48a8e3e53e49.css	(from https://usetola.com/)
19:23:08	3747/3747	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ea3-192e7305f40%22	https://usetola.com/_next/static/chunks/webpack-5f963b68637f2863.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/webpack-5f963b68637f2863.js	(from https://usetola.com/)
19:23:10	172832/172832	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a320-192e7305f40%22	https://usetola.com/_next/static/chunks/fd9d1056-e9e4715875385bd6.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/fd9d1056-e9e4715875385bd6.js	(from https://usetola.com/)
19:23:11	123508/123508	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e274-192e7305f40%22	https://usetola.com/_next/static/chunks/7023-5ea675ef79604c0d.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/7023-5ea675ef79604c0d.js	(from https://usetola.com/)
19:23:12	462/462	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ce-192e7305f40%22	https://usetola.com/_next/static/chunks/main-app-33f6b09c3d9a1b9b.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/main-app-33f6b09c3d9a1b9b.js	(from https://usetola.com/)
19:23:13	680787/680787	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a6353-192e7305f40%22	https://usetola.com/_next/static/chunks/b536a0f1-c938ddd70433cf72.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/b536a0f1-c938ddd70433cf72.js	(from https://usetola.com/)
19:23:14	62677/62677	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f4d5-192e7305f40%22	https://usetola.com/_next/static/chunks/a3cd4a83-db090b9e27aabc9b.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/a3cd4a83-db090b9e27aabc9b.js	(from https://usetola.com/)
19:23:14	23891/23891	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d53-192e7305f40%22	https://usetola.com/_next/static/chunks/5476-6e9bc50ad4752af1.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/5476-6e9bc50ad4752af1.js	(from https://usetola.com/)
19:23:15	20537/20537	---MCZ	200	added ('OK')	application/javascript	etag:W/%225039-192e7305f40%22	https://usetola.com/_next/static/chunks/231-2b5dba86f103a54f.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/231-2b5dba86f103a54f.js	(from https://usetola.com/)
19:23:17	110539/110539	---MCZ	200	added ('OK')	application/javascript	etag:W/%221afcb-192e7305f40%22	https://usetola.com/_next/static/chunks/5795-41e385dc559087ac.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/5795-41e385dc559087ac.js	(from https://usetola.com/)
19:23:18	5986/5986	---MCZ	200	added ('OK')	application/javascript	etag:W/%221762-192e7305f40%22	https://usetola.com/_next/static/chunks/9396-fa3f434b182a7467.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/9396-fa3f434b182a7467.js	(from https://usetola.com/)
19:23:18	13724/13724	---MCZ	200	added ('OK')	application/javascript	etag:W/%22359c-192e7305f40%22	https://usetola.com/_next/static/chunks/6648-9f4febcb51d8ba07.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/6648-9f4febcb51d8ba07.js	(from https://usetola.com/)
19:23:20	6948/6948	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b24-192e7305f40%22	https://usetola.com/_next/static/chunks/8807-7a5d14aeacfe929c.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/8807-7a5d14aeacfe929c.js	(from https://usetola.com/)
19:23:20	7413/7413	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cf5-192e7305f40%22	https://usetola.com/_next/static/chunks/8834-da4f58bfefefea29.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/8834-da4f58bfefefea29.js	(from https://usetola.com/)
19:23:22	613044/613044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2295ab4-192e7305f40%22	https://usetola.com/_next/static/chunks/4734-8aca145fa942c89d.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/4734-8aca145fa942c89d.js	(from https://usetola.com/)
19:23:23	33983/33983	---MCZ	200	added ('OK')	application/javascript	etag:W/%2284bf-192e7305f40%22	https://usetola.com/_next/static/chunks/8991-79b515898bd782fd.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/8991-79b515898bd782fd.js	(from https://usetola.com/)
19:23:24	12217/12217	---MCZ	200	added ('OK')	application/javascript	etag:W/%222fb9-192e7305f40%22	https://usetola.com/_next/static/chunks/4892-e9e421abd8882e44.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/4892-e9e421abd8882e44.js	(from https://usetola.com/)
19:23:24	36570/36570	---MCZ	200	added ('OK')	application/javascript	etag:W/%228eda-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/page-8814a828063353a6.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/page-8814a828063353a6.js	(from https://usetola.com/)
19:23:26	159122/159122	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226d92-192e7305f40%22	https://usetola.com/_next/static/chunks/9616-defbc81f30edbb18.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/9616-defbc81f30edbb18.js	(from https://usetola.com/)
19:23:26	15050/15050	---MCZ	200	added ('OK')	application/javascript	etag:W/%223aca-192e7305f40%22	https://usetola.com/_next/static/chunks/6553-122620c8e5d3dfb2.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/6553-122620c8e5d3dfb2.js	(from https://usetola.com/)
19:23:28	190/190	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/layout-db0d45d4a4dde373.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/layout-db0d45d4a4dde373.js	(from https://usetola.com/)
19:23:28	1381/1381	---MCZ	200	added ('OK')	application/javascript	etag:W/%22565-192e72f49e8%22	https://usetola.com/scripts/tiktokpixel.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/scripts/tiktokpixel.js	(from https://usetola.com/)
19:23:30	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7d2-192e7305f40%22	https://usetola.com/_next/static/chunks/polyfills-42372ed130431b0a.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://usetola.com/)
19:23:31	223112/223112	---MCZ	200	added ('OK')	text/html	etag:%221065jjq16zc4s2f%22	https://usetola.com/pricing	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/pricing.html	(from https://usetola.com/)
19:23:32	185871/185871	---M--	200	added ('OK')	image/jpeg	etag:W/%222d60f-192e72f49e8%22	https://usetola.com/videos/hero/main.jpg	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/main.jpg	(from https://usetola.com/)
19:23:34	1890658/1890658	---M--	200	added ('OK')	video/webm	etag:W/%221cd962-192e72f49e8%22	https://usetola.com/videos/hero/main.webm	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/main.webm	(from https://usetola.com/)
19:23:35	2454853/2454853	---M--	200	added ('OK')	video/mp4	etag:W/%22257545-192e72f49e8%22	https://usetola.com/videos/hero/main.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/main.mp4	(from https://usetola.com/)
19:23:35	118542/118542	---M--	200	added ('OK')	image/jpeg	etag:W/%221cf0e-192e72f49e8%22	https://usetola.com/videos/hero/pay.jpg	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/pay.jpg	(from https://usetola.com/)
19:23:37	1154883/1154883	---M--	200	added ('OK')	video/webm	etag:W/%22119f43-192e72f49e8%22	https://usetola.com/videos/hero/pay.webm	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/pay.webm	(from https://usetola.com/)
19:23:37	1400910/1400910	---M--	200	added ('OK')	video/mp4	etag:W/%2215604e-192e72f49e8%22	https://usetola.com/videos/hero/pay.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/pay.mp4	(from https://usetola.com/)
19:23:38	187966/187966	---MCZ	200	added ('OK')	text/html	etag:%22d9erjexbc940wb%22	https://usetola.com/product/accounts-payable	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/product/accounts-payable.html	(from https://usetola.com/)
19:23:39	177901/177901	---M--	200	added ('OK')	image/jpeg	etag:W/%222b6ed-192e72f49e8%22	https://usetola.com/videos/hero/get-paid.jpg	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/get-paid.jpg	(from https://usetola.com/)
19:23:41	1471967/1471967	---M--	200	added ('OK')	video/webm	etag:W/%221675df-192e72f49e8%22	https://usetola.com/videos/hero/get-paid.webm	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/get-paid.webm	(from https://usetola.com/)
19:23:42	185253/185253	---MCZ	200	added ('OK')	text/html	etag:%2211djztpupn83ysw%22	https://usetola.com/product/accounts-receivable	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/product/accounts-receivable.html	(from https://usetola.com/)
19:23:42	1966409/1966409	---M--	200	added ('OK')	video/mp4	etag:W/%221e0149-192e72f49e8%22	https://usetola.com/videos/hero/get-paid.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/get-paid.mp4	(from https://usetola.com/)
19:23:43	109118/109118	---M--	200	added ('OK')	image/jpeg	etag:W/%221aa3e-192e72f49e8%22	https://usetola.com/videos/hero/pay-later.jpg	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/pay-later.jpg	(from https://usetola.com/)
19:23:45	1210962/1210962	---M--	200	added ('OK')	video/webm	etag:W/%22127a52-192e72f49e8%22	https://usetola.com/videos/hero/pay-later.webm	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/pay-later.webm	(from https://usetola.com/)
19:23:46	186997/186997	---MCZ	200	added ('OK')	text/html	etag:%22dj4gnyjmn1405d%22	https://usetola.com/product/pay-later	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/product/pay-later.html	(from https://usetola.com/)
19:23:46	1341128/1341128	---M--	200	added ('OK')	video/mp4	etag:W/%221476c8-192e72f49e8%22	https://usetola.com/videos/hero/pay-later.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/pay-later.mp4	(from https://usetola.com/)
19:23:47	81108/81108	---M--	200	added ('OK')	image/jpeg	etag:W/%2213cd4-192e72f49e8%22	https://usetola.com/videos/hero/accounting.jpg	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/accounting.jpg	(from https://usetola.com/)
19:23:48	482225/482225	---M--	200	added ('OK')	video/webm	etag:W/%2275bb1-192e72f49e8%22	https://usetola.com/videos/hero/accounting.webm	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/accounting.webm	(from https://usetola.com/)
19:23:49	1176138/1176138	---M--	200	added ('OK')	video/mp4	etag:W/%2211f24a-192e72f49e8%22	https://usetola.com/videos/hero/accounting.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/hero/accounting.mp4	(from https://usetola.com/)
19:23:50	186728/186728	---MCZ	200	added ('OK')	text/html	etag:%22z3gl47sljo3zyg%22	https://usetola.com/product/accounting-integrations	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/product/accounting-integrations.html	(from https://usetola.com/)
19:23:50	185744/185744	---MCZ	200	added ('OK')	text/html	etag:%22k56v1ciahv3z6k%22	https://usetola.com/product/cashflow-insights	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/product/cashflow-insights.html	(from https://usetola.com/)
19:23:52	184634/184634	---MCZ	200	added ('OK')	text/html	etag:%22151yp5v684s3yc4%22	https://usetola.com/solutions/accountants	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/solutions/accountants.html	(from https://usetola.com/)
19:23:53	186471/186471	---MCZ	200	added ('OK')	text/html	etag:%226i2q40fq7k3zql%22	https://usetola.com/solutions/wholesale	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/solutions/wholesale.html	(from https://usetola.com/)
19:23:54	187575/187575	---MCZ	200	added ('OK')	text/html	etag:%22ii077klydh40l9%22	https://usetola.com/solutions/e-commerce	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/solutions/e-commerce.html	(from https://usetola.com/)
19:23:55	187575/187575	---MCZ	200	added ('OK')	text/html	etag:%227hjk30c0ug40l9%22	https://usetola.com/solutions/hospitality	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/solutions/hospitality.html	(from https://usetola.com/)
19:23:56	186382/186382	---MCZ	200	added ('OK')	text/html	etag:%22cf577mr1em3zo4%22	https://usetola.com/solutions/services	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/solutions/services.html	(from https://usetola.com/)
19:23:57	187478/187478	---MCZ	200	added ('OK')	text/html	etag:%2215lgmolw1k840ik%22	https://usetola.com/solutions/non-profits	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/solutions/non-profits.html	(from https://usetola.com/)
19:23:58	54248/54248	---MCZ	200	added ('OK')	text/html	etag:%2212nf15lsp8q15rk%22	https://usetola.com/about	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/about.html	(from https://usetola.com/)
19:23:59	417108/417108	---MCZ	200	added ('OK')	text/html	etag:%22z4uu05lrdu8xra%22	https://usetola.com/faq	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/faq.html	(from https://usetola.com/)
19:24:00	248113/248113	---MCZ	200	added ('OK')	text/html	etag:%22oswh3jiknb5bd4%22	https://usetola.com/changelog	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/changelog.html	(from https://usetola.com/)
19:24:01	314118/314118	---MCZ	200	added ('OK')	text/html	etag:%226q5hi693ke6q5h%22	https://usetola.com/legal/terms-of-service	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/legal/terms-of-service.html	(from https://usetola.com/)
19:24:02	105242/105242	---MCZ	200	added ('OK')	text/html	etag:%22l6fv6i4yh8294s%22	https://usetola.com/legal/privacy-policy	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/legal/privacy-policy.html	(from https://usetola.com/)
19:24:02	1605/1605	---MCZ	200	added ('OK')	application/javascript	etag:W/%22645-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/pricing/page-206b81635862512f.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/pricing/page-206b81635862512f.js	(from https://usetola.com/pricing)
19:24:04	9863/9863	---MCZ	200	added ('OK')	application/javascript	etag:W/%222687-192e7305f40%22	https://usetola.com/_next/static/chunks/8298-d41359facd3d9048.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/8298-d41359facd3d9048.js	(from https://usetola.com/product/accounts-payable)
19:24:04	5526/5526	---MCZ	200	added ('OK')	application/javascript	etag:W/%221596-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/product/accounts-payable/page-3c024ca012966b60.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/product/accounts-payable/page-3c024ca012966b60.js	(from https://usetola.com/product/accounts-payable)
19:24:07	557784/557784	---M--	200	added ('OK')	video/mp4	etag:W/%22882d8-192e72f49e8%22	https://usetola.com/videos/callouts/add-bill.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/callouts/add-bill.mp4	(from https://usetola.com/product/accounts-payable)
19:24:07	1141562/1141562	---M--	200	added ('OK')	image/webp	etag:W/%22116b3a-192e72f49e8%22	https://usetola.com/images/hero/pay.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/hero/pay.webp	(from https://usetola.com/product/accounts-payable)
19:24:08	814129/814129	---M--	200	added ('OK')	video/mp4	etag:W/%22c6c31-192e72f49e8%22	https://usetola.com/videos/callouts/pay.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/callouts/pay.mp4	(from https://usetola.com/product/accounts-payable)
19:24:09	822593/822593	---M--	200	added ('OK')	video/mp4	etag:W/%22c8d41-192e72f49e8%22	https://usetola.com/videos/callouts/batch-payments.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/callouts/batch-payments.mp4	(from https://usetola.com/product/accounts-payable)
19:24:09	5522/5522	---MCZ	200	added ('OK')	application/javascript	etag:W/%221592-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/product/accounts-receivable/page-b651b93620982c2a.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/product/accounts-receivable/page-b651b93620982c2a.js	(from https://usetola.com/product/accounts-receivable)
19:24:11	61626/61626	---M--	200	added ('OK')	image/webp	etag:W/%22f0ba-192e72f49e8%22	https://usetola.com/images/callouts/accounting-sync-ar.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/callouts/accounting-sync-ar.webp	(from https://usetola.com/product/accounts-receivable)
19:24:12	1052301/1052301	---M--	200	added ('OK')	video/mp4	etag:W/%22100e8d-192e72f49e8%22	https://usetola.com/videos/callouts/custom-invoices.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/callouts/custom-invoices.mp4	(from https://usetola.com/product/accounts-receivable)
19:24:13	5526/5526	---MCZ	200	added ('OK')	application/javascript	etag:W/%221596-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/product/pay-later/page-aba3ef714d56829b.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/product/pay-later/page-aba3ef714d56829b.js	(from https://usetola.com/product/pay-later)
19:24:14	241404/241404	---M--	200	added ('OK')	image/webp	etag:W/%223aefc-192e72f49e8%22	https://usetola.com/images/hero/pay-later.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/hero/pay-later.webp	(from https://usetola.com/product/pay-later)
19:24:15	536025/536025	---M--	200	added ('OK')	video/mp4	etag:W/%2282dd9-192e72f49e8%22	https://usetola.com/videos/callouts/pay-later.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/callouts/pay-later.mp4	(from https://usetola.com/product/pay-later)
19:24:15	53828/53828	---M--	200	added ('OK')	image/webp	etag:W/%22d244-192e72f49e8%22	https://usetola.com/images/callouts/transparent-fees.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/callouts/transparent-fees.webp	(from https://usetola.com/product/pay-later)
19:24:17	579024/579024	---M--	200	added ('OK')	video/mp4	etag:W/%228d5d0-192e72f49e8%22	https://usetola.com/videos/callouts/cashflow-insights.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/callouts/cashflow-insights.mp4	(from https://usetola.com/product/pay-later)
19:24:17	5694/5694	---M--	200	added ('OK')	image/webp	etag:W/%22163e-192e72f49e8%22	https://usetola.com/images/customers/freelancecfo_logo.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/customers/freelancecfo_logo.webp	(from https://usetola.com/product/accounting-integrations)
19:24:18	7982/7982	---M--	200	added ('OK')	image/webp	etag:W/%221f2e-192e72f49e8%22	https://usetola.com/images/customers/makro_logo.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/customers/makro_logo.webp	(from https://usetola.com/product/accounting-integrations)
19:24:19	5522/5522	---MCZ	200	added ('OK')	application/javascript	etag:W/%221592-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/product/accounting-integrations/page-ace96703f44414bc.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/product/accounting-integrations/page-ace96703f44414bc.js	(from https://usetola.com/product/accounting-integrations)
19:24:21	247381/247381	---M--	200	added ('OK')	video/mp4	etag:W/%223c655-192e72f49e8%22	https://usetola.com/videos/callouts/bill-overview.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/callouts/bill-overview.mp4	(from https://usetola.com/product/accounting-integrations)
19:24:21	45704/45704	---M--	200	added ('OK')	image/webp	etag:W/%22b288-192e72f49e8%22	https://usetola.com/images/callouts/accounting-sync.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/callouts/accounting-sync.webp	(from https://usetola.com/product/accounting-integrations)
19:24:22	40620/40620	---M--	200	added ('OK')	image/webp	etag:W/%229eac-192e72f49e8%22	https://usetola.com/images/callouts/approval.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/callouts/approval.webp	(from https://usetola.com/product/accounting-integrations)
19:24:24	5526/5526	---MCZ	200	added ('OK')	application/javascript	etag:W/%221596-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/product/cashflow-insights/page-b6c07de07973ee99.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/product/cashflow-insights/page-b6c07de07973ee99.js	(from https://usetola.com/product/cashflow-insights)
19:24:25	155146/155146	---M--	200	added ('OK')	image/webp	etag:W/%2225e0a-192e72f49e8%22	https://usetola.com/images/hero/cashflow.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/hero/cashflow.webp	(from https://usetola.com/product/cashflow-insights)
19:24:25	64064/64064	---M--	200	added ('OK')	image/webp	etag:W/%22fa40-192e72f49e8%22	https://usetola.com/images/callouts/cashflow.webp	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/images/callouts/cashflow.webp	(from https://usetola.com/product/cashflow-insights)
19:24:27	389434/389434	---M--	200	added ('OK')	video/mp4	etag:W/%225f13a-192e72f49e8%22	https://usetola.com/videos/callouts/cashflow-insights-short.mp4	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/videos/callouts/cashflow-insights-short.mp4	(from https://usetola.com/product/cashflow-insights)
19:24:27	5517/5517	---MCZ	200	added ('OK')	application/javascript	etag:W/%22158d-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/solutions/accountants/page-70475cc0b77d5c28.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/solutions/accountants/page-70475cc0b77d5c28.js	(from https://usetola.com/solutions/accountants)
19:24:29	5537/5537	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215a1-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/solutions/wholesale/page-6ae3520e203b9c89.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/solutions/wholesale/page-6ae3520e203b9c89.js	(from https://usetola.com/solutions/wholesale)
19:24:30	5537/5537	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215a1-192e7305f40%22	https://usetola.com/_next/static/chunks/app/(main)/solutions/e-commerce/page-85e099e2d2af318f.js	/Users/lucy-cto/Desktop/usetola_copy/usetola.com/_next/static/chunks/app/(main)/solutions/e-commerce/page-85e099e2d2af318f.js	(from https://usetola.com/solutions/e-commerce)
